index,name,active_fla,address_st,activity,activity_l,program__1,mpca_id_li,industrial,shape,geometry
108,Nokomis Library,Y,5100 34th Ave S,Hazardous Waste,Hazardous Waste,Hazardous Waste,MNS000150508,Libraries and Archives,0101000020E610000019B4EB39444E57C084DF3C8B94744640,POINT (482403.7347208566 4973063.607219575)
109,McDonalds Liquor,N,5010 34th Ave S,Hazardous Waste,Hazardous Waste,Hazardous Waste,MND985770478,,0101000020E61000006CAFAA03454E57C042D4D8B9C4744640,POINT (482400.3876050096 4973226.957769265)
110,DeMaine Dwight C DDS,N,3319 E 50th St,Hazardous Waste,Hazardous Waste,Hazardous Waste,MNR000007203,Offices of Dentists,0101000020E610000022F719BC544E57C0D9F04F04CC744640,POINT (482324.7169299388 4973251.883109694)
111,Auto Care Inc,Y,5000 34th Ave S,"Petroleum Remediation, Leak Site","Petroleum Remediation, Leak Site",Investigation and Cleanup,LS0002329,,0101000020E61000005E82531F484E57C0C0328001CE744640,POINT (482385.5001643633 4973258.458398236)
112,Nokomis Family Dental,Y,4948 34th Ave S,"Hazardous Waste, Very small quantity generator","Hazardous Waste, Very small quantity generator",Hazardous Waste,MN0000117044,Offices of Dentists,0101000020E61000008DF589134A4E57C06DF43990D8744640,POINT (482376.18500822614 4973294.274967509)
113,Minnehaha Townhomes,Y,"5342, 5350, 5362 and 5370 Riverview Rd",Construction Stormwater,Construction Stormwater,Stormwater,C00049752,,0101000020E6100000301004C8D04C57C05CE7DF2EFB734640,POINT (484192.06711433525 4972539.032827745)
114,Oak Properties Apartments,Y,5310 Minnehaha Ave,Multiple Activities,"Construction Stormwater; Petroleum Remediation, Leak Site; Underground Tanks",Investigation and Cleanup; Stormwater; Tanks,C00051726; LS0020851; TS0130418,,0101000020E61000002DE949151C4D57C0F55E422615744640,POINT (483829.4567223373 4972627.967041038)
115,Minnesota Veterans Home - Mpls,Y,5101 Minnehaha Ave,Multiple Activities,"Aboveground Tanks; Hazardous Waste, Very small quantity generator; Integrated Remediation; Underground Tanks",Hazardous Waste; Investigation and Cleanup; Tanks,LS0014225; MND981786734; TS0002572; TS0050416,Nursing Care Facilities (Skilled Nursing Facilities),0101000020E61000004E509A38FF4C57C09068E13643744640,POINT (483968.9148806238 4972783.779823493)
116,Holiday Stationstore #22,N,5247 Minnehaha Ave,Multiple Activities,"Petroleum Remediation, Leak Site; Underground Tanks",Investigation and Cleanup; Tanks,LS0008723; TS0002142,,0101000020E6100000E814E467234D57C0F77C282C4C744640,POINT (483794.64672685304 4972814.587631229)
117,C & K Lawn & Marine Inc,Y,5152 Hiawatha Ave,Hazardous Waste,Hazardous Waste,Hazardous Waste,MND068200591,,0101000020E6100000725298F7384D57C0D4A4CAE660744640,POINT (483690.9397013782 4972885.12428799)
118,MDVA Central Pharmacy - Minneapolis DOMS,Y,5101 Minnehaha Ave Bldg 16,"Hazardous Waste, Very small quantity generator","Hazardous Waste, Very small quantity generator",Hazardous Waste,MNS000330200,Pharmacies and Drug Stores ; Nursing Care Facilities (Skilled Nursing Facilities),0101000020E61000000884290C024D57C02087DA99B6744640,POINT (483956.278648896 4973174.981454262)
119,MDVA Central Pharmacy - Minneapolis Building 19,Y,5101 Minnehaha Ave Bldg 19,"Hazardous Waste, Very small quantity generator","Hazardous Waste, Very small quantity generator",Hazardous Waste,MNS000330368,Pharmacies and Drug Stores ; Nursing Care Facilities (Skilled Nursing Facilities),0101000020E61000000884290C024D57C02087DA99B6744640,POINT (483956.278648896 4973174.981454262)
120,MDVA Central Pharmacy - Minneapolis Building 22,Y,5101 Minnehaha Ave Bldg 22,"Hazardous Waste, Very small quantity generator","Hazardous Waste, Very small quantity generator",Hazardous Waste,MNS000330376,Pharmacies and Drug Stores ; Nursing Care Facilities (Skilled Nursing Facilities),0101000020E61000000884290C024D57C02087DA99B6744640,POINT (483956.278648896 4973174.981454262)
121,Wabun Picnic Area Phase II Improvements,Y,4645 E 46th St,Construction Stormwater,Construction Stormwater,Stormwater,C00028244,,0101000020E61000006CEEE87F394D57C006402663C6744640,POINT (483689.25218219904 4973229.173678004)
122,Minnesota Veterans Home Adult Day Care F,N,5101 Minnehaha Ave S Bldg 4,Construction Stormwater,Construction Stormwater,Stormwater,C00029343,,0101000020E61000001327F73B144D57C070B1A206D3744640,POINT (483868.89996065653 4973271.564065918)
123,Trinity Lutheran Church,N,5212 41st Ave S,Multiple Activities,"Petroleum Remediation, Leak Site; Underground Tanks",Investigation and Cleanup; Tanks,LS0015310; TS0002695,,0101000020E6100000CE28A787B24D57C07D06D49B51744640,POINT (483105.09857913904 4972834.800680617)
124,Falls Superette,N,5000 Hiawatha Ave S,Multiple Activities,"Petroleum Remediation, Leak Site; Underground Tanks",Investigation and Cleanup; Tanks,LS0005708; TS0013353,,0101000020E6100000D5F83BCA774D57C0D040D1E1C6744640,POINT (483389.1502653025 4973231.623347253)
125,Hiawatha Cleaners & Launderers,Y,4230 E 50th St,Hazardous Waste,Hazardous Waste,Hazardous Waste,MND022902811,,0101000020E61000005CB11AA6914D57C0F9043F60D4744640,POINT (483264.68560641375 4973277.693091471)
126,Minnehaha Creek channel repair,Y,Address Unknown,Construction Stormwater,Construction Stormwater,Stormwater,C00031333,,0101000020E61000009D0FCF12644D57C078BE558D14754640,POINT (483484.8221306042 4973494.683424731)
127,Minnehaha Creek WPA Walls -,N,See location description,Construction Stormwater,Construction Stormwater,Stormwater,C00027031,,0101000020E61000004C378941604D57C0228E75711B754640,POINT (483503.27373258886 4973517.997257506)
128,Minnehaha Park Site Improv,N,Minnehaha Ave & Godfrey Pkwy,Construction Stormwater,Construction Stormwater,Stormwater,C00004533,,0101000020E61000004B98A3A6A14D57C084A9FB3A4F754640,POINT (483188.68598352553 4973694.379440173)
129,Pet Supplies Plus,Y,4751 S Hiawatha Ave,"Hazardous Waste, Very small quantity generator","Hazardous Waste, Very small quantity generator",Hazardous Waste,MNR000113449,Pet and Pet Supplies Stores,0101000020E610000021A0B1E5CB4D57C0AF9F596D59754640,POINT (482985.25587350025 4973729.485231511)
130,Hiawatha Apartments,Y,4757 Hiawatha Ave,Multiple Activities,"Brownfields, Petroleum Brownfield and Voluntary Investigation and Cleanup; Petroleum Remediation, Leak Site",Investigation and Cleanup,BF0000993; LS0020886,,0101000020E610000021E28B9BBF4D57C03BB334225E754640,POINT (483044.5033874642 4973745.2832312)
131,Former Gas Station,Y,4750 Hiawatha Ave,"Petroleum Remediation, Leak Site","Petroleum Remediation, Leak Site",Investigation and Cleanup,LS0009653,,0101000020E610000013C1EE2ADA4D57C0DAEB38D961754640,POINT (482916.584419198 4973758.217483169)
132,Hiawatha Light Rail Transit - Minneapolis,Y,See Location Description,Construction Stormwater,Construction Stormwater,Stormwater,C00027200,,0101000020E61000004B598638D64D57C0AF94658863754640,POINT (482935.61375013686 4973763.876525503)
133,Nokomis Shoe Shop,Y,4950 34th Ave S,Hazardous Waste,Hazardous Waste,Hazardous Waste,MND985758879,,0101000020E610000024D236FE444E57C06FE5362BEC744640,POINT (482400.8584436765 4973360.67112329)
134,Norwest Bank Nokomis Na,Y,4943 34th Ave S,"Hazardous Waste, Very small quantity generator","Hazardous Waste, Very small quantity generator",Hazardous Waste,MN0000230102,,0101000020E610000086D50E35404E57C06DD38ED1F0744640,POINT (482423.95850086375 4973376.37076882)
135,Norlin Chiropractic Center,N,4927 34th Ave S Ste 1B,Hazardous Waste,Hazardous Waste,Hazardous Waste,MND110388428,Offices of Chiropractors,0101000020E610000027B6CC33404E57C0BCAD9921FA744640,POINT (482424.0690076179 4973407.941212522)
136,Lake Nokomis Family Dentistry,Y,4927 34th Ave S Uppr Level,"Hazardous Waste, Very small quantity generator","Hazardous Waste, Very small quantity generator",Hazardous Waste,MN0001015650,Offices of Dentists,0101000020E6100000F157B730414E57C03268322DFB744640,POINT (482419.3190538788 4973411.497920555)
137,Sandberg Imports/leder Bros Realty,N,3501 Minnehaha Ave S,Multiple Activities,"Petroleum Remediation, Leak Site; Underground Tanks",Investigation and Cleanup; Tanks,LS0002824; TS0014900,,0101000020E6100000ECF65965264E57C094EEF8403C754640,POINT (482549.00962697924 4973631.760363307)
138,A1 Compressor,N,3715 Minnehaha Pkwy E,Hazardous Waste,Hazardous Waste,Hazardous Waste,MND982061970,,0101000020E6100000C0EB3367FD4D57C06272593B40754640,POINT (482746.53123533103 4973644.710408622)
139,Oak Station Properties,Y,3550 46th St E,Multiple Activities,"Brownfields, Petroleum Brownfield; Brownfields, Voluntary Investigation and Cleanup",Investigation and Cleanup,PB4110; VP28240,,0101000020E6100000C40AB77C244E57C0D6427F57BA754640,POINT (482559.3718153277 4974059.181618119)
140,Oaks Station Place,Y,Address Unknown,Construction Stormwater,Construction Stormwater,Stormwater,C00032577,,0101000020E61000004BEA0434114E57C092CB7F48BF754640,POINT (482652.31279412174 4974075.68068498)
141,Hiawatha Country Club,Y,4547 Hiawatha,"Brownfields, Voluntary Investigation and Cleanup","Brownfields, Voluntary Investigation and Cleanup",Investigation and Cleanup,VP3880; VP3881; VP3882,,0101000020E6100000AB6FAAFFFD4D57C027908611CA754640,POINT (482744.92400108726 4974111.993149428)
142,Weiss Expert Inc dba Expert Auto Body,N,4556 34th Ave S,Multiple Activities,Air Quality; Hazardous Waste,Air Quality; Hazardous Waste,05300920; MND981002454,"Automotive Body, Paint, and Interior Repair and Maintenance",0101000020E61000007E65EFD6434E57C0B9DFA128D0754640,POINT (482408.5433169192 4974133.55609044)
143,Former Dairy Queen,Y,4740 Minnehaha Ave,Underground Tanks,Underground Tanks,Tanks,TS0125193,,0101000020E6100000067FBF98AD4D57C0507B00416F754640,POINT (483131.42382084986 4973803.092697358)
144,US Cleaners - Minneapolis,Y,4729 Hiawatha Ave S,"Hazardous Waste, Very small quantity generator","Hazardous Waste, Very small quantity generator",Hazardous Waste,MNR000000679,Drycleaning and Laundry Services (except Coin-Operated),0101000020E610000047C8409EDD4D57C02CCDF79D70754640,POINT (482900.09587847855 4973808.328185238)
145,Greg's Automotive Service,Y,4737 Minnehaha Ave,Multiple Activities,"Brownfields, Petroleum Brownfield and Voluntary Investigation and Cleanup; Hazardous Waste, Very small quantity generator; Petroleum Remediation, Leak Site; Underground Tanks",Hazardous Waste; Investigation and Cleanup; Tanks,BF0000564; BF0001468; LS0020448; LS0020592; MND097092456; TS0130278,General Automotive Repair,0101000020E6100000995B080FA64D57C0B9320B6173754640,POINT (483167.7742212068 4973816.981592797)
146,Jakubas Joan W Dds,Y,4721 Hiawatha Ave,Hazardous Waste,Hazardous Waste,Hazardous Waste,MND985742345,Health Services,0101000020E6100000F3EE2312E04D57C0CA70975874754640,POINT (482888.31409944326 4973821.001328617)
147,Parkway Plaza Retail Center,Y,4701 Hiawatha Ave S,Multiple Activities,"Brownfields, Voluntary Investigation and Cleanup; Superfund, Superfund Program Non-listed Sites",Investigation and Cleanup,SR0000295; VP29850,,0101000020E61000000E46915ACD4D57C099501C9B78754640,POINT (482978.52058477537 4973835.201855671)
148,Crosby Investment Co,Y,Hiawatha & Nawadaha Blvd,"Petroleum Remediation, Leak Site","Petroleum Remediation, Leak Site",Investigation and Cleanup,LS0000865,,0101000020E6100000A1270A99D04D57C00AF258D878754640,POINT (482962.89492232323 4973836.054390814)
149,Lowa Phase 2,Y,4120 Nawadaha Blvd,Construction Stormwater,Construction Stormwater,Stormwater,C00063199,,0101000020E61000009DF7FF71C24D57C091813CBB7C754640,POINT (483031.10825930163 4973849.047895127)
150,Weekes Forest Products,Y,3939 E 46th St,Multiple Activities,"Aboveground Tanks; Brownfields, Petroleum Brownfield and Voluntary Investigation and Cleanup; Petroleum Remediation, Leak Site; Underground Tanks",Investigation and Cleanup; Tanks,BF0000199; LS0002153; TS0001850,,0101000020E6100000CAFB59A8CC4D57C08A21B56094754640,POINT (482982.1250038376 4973929.341329701)
151,City of Minneapolis Wabun Maintenance Bldg,Y,4749 46th Ave S,Aboveground Tanks,Aboveground Tanks,Tanks,TS0125377,,0101000020E61000003A611D22494D57C0F48EAE2D97754640,POINT (483615.74648686306 4973937.18124793)
152,Cub Foods 1587 - Minnehaha,Y,4601 Snelling Ave,"Hazardous Waste, Large quantity generator","Hazardous Waste, Large quantity generator",Hazardous Waste,MNS000331104,Supermarkets and Other Grocery (except Convenience) Stores,0101000020E6100000B5A7E49CD84D57C0BD6F7CED99754640,POINT (482924.582862745 4973948.309407649)
153,Krogan Chiropractic,N,5609 Chicago Ave,Hazardous Waste,Hazardous Waste,Hazardous Waste,MN0000569293,Offices of Chiropractors,0101000020E610000005C7C095C75057C085D8F4FB59734640,POINT (479300.5947944467 4972006.504325484)
154,Kowalski's Parkview Market,Y,5615 Chicago Ave S,"Hazardous Waste, Minimal quantity generator","Hazardous Waste, Minimal quantity generator",Hazardous Waste,MNS000201400,Supermarkets and Other Grocery (except Convenience) Stores,0101000020E61000000DFB3DB1CE5057C024C44B265D734640,POINT (479266.38090630894 4972017.345892502)
155,Diamond Lake Pharmacy,Y,5601 Chicago Ave,Multiple Activities,"Brownfields, Voluntary Investigation and Cleanup; Hazardous Waste; Site Assessment; Superfund, Superfund Program Non-listed Sites",Hazardous Waste; Investigation and Cleanup,MND985758861; SA0000146; SR0000322; VP30520,,0101000020E61000007B50AB43C95057C0C2EBE9D962734640,POINT (479292.5997191853 4972036.590152202)
156,Equisite Cleaners,Y,811 E 56th St,Hazardous Waste,Hazardous Waste,Hazardous Waste,MND981947799,Drycleaning and Laundry Services (except Coin-Operated),0101000020E6100000B9BC83E9C55057C043345FCA65734640,POINT (479308.7851358813 4972046.502321868)
157,Iverson & Ehlers Dds Pa,Y,5536 Chicago Ave,"Hazardous Waste, Minimal quantity generator","Hazardous Waste, Minimal quantity generator",Hazardous Waste,MND985687227,Health Services,0101000020E6100000AC5626FCD25057C0ACC77DAB75734640,POINT (479245.9657242322 4972100.537986253)
158,Family & Cosmetic Gentle Dentistry MPLS,Y,5401 Chicago Ave,"Hazardous Waste, Very small quantity generator","Hazardous Waste, Very small quantity generator",Hazardous Waste,MND985770965,Offices of Dentists,0101000020E6100000A17D5127C55057C033BB93F4D5734640,POINT (479313.67070393596 4972426.7356017)
159,ZAAF Corner Inc dba Jim's Chicago Service,Y,5400 Chicago Ave,Multiple Activities,"Aboveground Tanks; Hazardous Waste, Minimal quantity generator; Petroleum Remediation, Leak Site; Underground Tanks",Hazardous Waste; Investigation and Cleanup; Tanks,LS0020166; MND027595206; TS0002808,,0101000020E6100000AA752C00D75057C04BD0FCBDD6734640,POINT (479227.68433807144 4972429.681000459)
160,Robert C Bollig Painting LLC,Y,5245 Portland Ave,"Hazardous Waste, Very small quantity generator","Hazardous Waste, Very small quantity generator",Hazardous Waste,MNS000209080,Painting and Wall Covering Contractors,0101000020E6100000142A9375135157C088D0AD7C3B744640,POINT (478937.4937799299 4972772.163082726)
161,Former Gas Station,Y,Chicago Ave S & 52nd St Ne Corner,"Petroleum Remediation, Leak Site","Petroleum Remediation, Leak Site",Investigation and Cleanup,LS0015801,,0101000020E61000009F292AD1C85057C0243A15BA5C744640,POINT (479297.4980371 4972883.675775873)
162,First Free Church,Y,5150 Chicago Ave S,Multiple Activities,"Petroleum Remediation, Leak Site; Underground Tanks",Investigation and Cleanup; Tanks,LS0015493; TS0002449,,0101000020E61000006A64FCA0D35057C06D85FAA765744640,POINT (479245.5040675813 4972914.115126231)
163,Crockett Apartments,Y,4900 Chicago Ave S,"Petroleum Remediation, Leak Site","Petroleum Remediation, Leak Site",Investigation and Cleanup,LS0017666,,0101000020E6100000FFDEB76BD35057C052F2EA1C03754640,POINT (479248.23950868845 4973447.8999032285)
164,Clean N Press,N,4810 Chicago Ave,Hazardous Waste,Hazardous Waste,Hazardous Waste,MND982608382,,0101000020E6100000D1692794CF5057C09A0D8D823B754640,POINT (479267.36938623036 4973639.029311435)
165,Minnehaha Animal Hospital,Y,4809 Chicago Ave,"Hazardous Waste, Very small quantity generator","Hazardous Waste, Very small quantity generator",Hazardous Waste,MNR000007740,Veterinary Services,0101000020E6100000C82CD6CBCA5057C0BDF7DCAE3C754640,POINT (479290.422028402 4973642.93162753)
166,Chicago Properties,Y,4749 Chicago Ave,"Petroleum Remediation, Leak Site","Petroleum Remediation, Leak Site",Investigation and Cleanup,LS0008504,,0101000020E61000000B879455C75057C00FAB894F4B754640,POINT (479307.2605404149 4973692.466319118)
167,Formerly Cleaning Store,N,4737 Chicago Ave S,Underground Tanks,Underground Tanks,Tanks,TS0019254,,0101000020E61000004D8D2B89C75057C01783E22252754640,POINT (479306.3646252171 4973715.608583966)
168,Dealers One Hour Photo,N,4760 Chicago Ave,Hazardous Waste,Hazardous Waste,Hazardous Waste,MNR000012211,,0101000020E61000007866DD9ACF5057C03D5A417859754640,POINT (479267.5725597642 4973740.595270656)
169,Southside Chiropractic,N,4755 Chicago Ave,Hazardous Waste,Hazardous Waste,Hazardous Waste,MN0000622399,Offices of Chiropractors,0101000020E61000003989F7D2CA5057C02A6D16D45C754640,POINT (479290.640952972 4973751.907021386)
170,Dentexpert PLLC - Chicago Ave,N,4730 Chicago Ave Ste 3,Hazardous Waste,Hazardous Waste,Hazardous Waste,MN0000686881,Offices of Dentists,0101000020E6100000FC1C1F2DCE5057C0B83EAC376A754640,POINT (479274.6392863694 4973797.348841551)
171,HealthPartners Nokomis Clinic,Y,4730 Chicago Ave,"Hazardous Waste, Minimal quantity generator","Hazardous Waste, Minimal quantity generator",Hazardous Waste,MNS000184960,Offices of Physicians,0101000020E6100000F511F8C3CF5057C06A2B9BDE6A754640,POINT (479266.99040693376 4973799.584228039)
172,Southside Medical Clinic,N,4730 Chicago Ave S Ste 1,Hazardous Waste,Hazardous Waste,Hazardous Waste,MNS000139139,Offices of Physicians,0101000020E6100000F511F8C3CF5057C06A2B9BDE6A754640,POINT (479266.99040693376 4973799.584228039)
